date,customer_id,customer_name,campaign_id,campaign_name,campaign_status,channel_type,spend_krw,impressions,clicks,conversions,attributed_revenue_krw,ctr,cpc_krw,roas
2024-01-01,4988024901,엔트로피,20895869967,231229_블리치,REMOVED,PERFORMANCE_MAX,36882,18263,63,0,0,0.0034495975469528554,585.432266,0
2024-01-02,4988024901,엔트로피,20895869967,231229_블리치,REMOVED,PERFORMANCE_MAX,17312,9673,32,0,0,0.003308177401013129,540.9922398125,0
2024-01-03,4988024901,엔트로피,20895869967,231229_블리치,REMOVED,PERFORMANCE_MAX,66456,14686,83,3,110700,0.005651641018657225,800.673534,1.6657662369529953
2024-01-04,4988024901,엔트로피,20895869967,231229_블리치,REMOVED,PERFORMANCE_MAX,11126,1941,18,0,0,0.00927357032457496,618.0978312222222,0
2024-01-05,4988024901,엔트로피,20895869967,231229_블리치,REMOVED,PERFORMANCE_MAX,6,2,0,0,0,0,,0
2024-01-01,4988024901,엔트로피,20906174608,231229_펌제,REMOVED,PERFORMANCE_MAX,40125,14766,94,0,0,0.006365975890559393,426.85821546808506,0
2024-01-02,4988024901,엔트로피,20906174608,231229_펌제,REMOVED,PERFORMANCE_MAX,24204,7857,43,1,31900,0.005472826778668703,562.8854234186047,1.317959986618049
2024-01-03,4988024901,엔트로피,20906174608,231229_펌제,REMOVED,PERFORMANCE_MAX,40974,16949,82,2,73800,0.004838043542391882,499.6827093780488,1.8011429715473306
2024-01-04,4988024901,엔트로피,20906174608,231229_펌제,REMOVED,PERFORMANCE_MAX,17354,4174,29,0,0,0.006947771921418304,598.3984751724138,0
2024-01-05,4988024901,엔트로피,20906174608,231229_펌제,REMOVED,PERFORMANCE_MAX,4,2,0,0,0,0,,0
2024-01-16,4988024901,엔트로피,20929014438,240111_펌제_실적최대화,PAUSED,PERFORMANCE_MAX,78166,14367,83,0,0,0.005777128140878402,941.7604787228917,0
2024-01-17,4988024901,엔트로피,20929014438,240111_펌제_실적최대화,PAUSED,PERFORMANCE_MAX,94379,6021,215,0,0,0.035708354094004316,438.97313465581396,0
2024-01-18,4988024901,엔트로피,20929014438,240111_펌제_실적최대화,PAUSED,PERFORMANCE_MAX,72265,6611,335,0,0,0.05067312055664801,215.7158863880597,0
2024-01-19,4988024901,엔트로피,20929014438,240111_펌제_실적최대화,PAUSED,PERFORMANCE_MAX,26289,3821,244,0,0,0.06385762889295996,107.74139693032787,0
2024-01-20,4988024901,엔트로피,20929014438,240111_펌제_실적최대화,PAUSED,PERFORMANCE_MAX,32926,5831,316,0,0,0.054193105813754076,104.19510030063292,0
2024-01-21,4988024901,엔트로피,20929014438,240111_펌제_실적최대화,PAUSED,PERFORMANCE_MAX,7849,1216,26,0,0,0.02138157894736842,301.8738375,0
2024-01-22,4988024901,엔트로피,20929014438,240111_펌제_실적최대화,PAUSED,PERFORMANCE_MAX,23908,1667,95,0,0,0.05698860227954409,251.6589597473684,0
2024-01-16,4988024901,엔트로피,20938943434,240111_블리치_실적최대화,PAUSED,PERFORMANCE_MAX,94191,23874,148,0,0,0.006199212532462093,636.4277481689189,0
2024-01-17,4988024901,엔트로피,20938943434,240111_블리치_실적최대화,PAUSED,PERFORMANCE_MAX,100530,59941,192,0,0,0.0032031497639345356,523.5961838541667,0
2024-01-18,4988024901,엔트로피,20938943434,240111_블리치_실적최대화,PAUSED,PERFORMANCE_MAX,39798,17029,95,0,0,0.005578718656409654,418.92484644210526,0
2024-01-19,4988024901,엔트로피,20938943434,240111_블리치_실적최대화,PAUSED,PERFORMANCE_MAX,29119,4918,37,0,0,0.0075233834892232615,786.9975167567568,0
